player1,player2,player3,player4,player5,Tm,GP,Min,NETRTG,Poss
AHorfordPHI ,THarrisPHI ,JEmbiidPHI ,BSimmonsPHI ,SMiltonPHI ,PHI ,7,56,-24.8,121
JHolidayIND ,DMcDermottIND ,TMcConnellIND ,AHolidayIND ,GBitadzeIND ,IND ,19,56,4.8,130
LWilliamsLAC ,PBeverleyLAC ,PGeorgeLAC ,KLeonardLAC ,MHarrellLAC ,LAC ,17,56,14,123
MPlumleeDEN ,JGrantDEN ,MBeasleyDEN ,MMorrisDEN ,TCraigDEN ,DEN ,10,56,-9.8,111
NBjelicaSAC ,HBarnesSAC ,DDedmonSAC ,BHieldSAC ,DFoxSAC ,SAC ,10,55,-34.1,120
RRubioPHX ,ABaynesPHX ,DSaricPHX ,DBookerPHX ,MBridgesPHX ,PHX ,8,55,17.2,117
JRedickNOP ,BIngramNOP ,LBallNOP ,JHartNOP ,JHayesNOP ,NOP ,20,54,-12.5,131
JRedickNOP ,JHolidayNOP ,BIngramNOP ,JHartNOP ,JHayesNOP ,NOP ,18,54,20.2,124
JValanciunasMEM ,JCrowderMEM ,DBrooksMEM ,JMorantMEM ,BClarkeMEM ,MEM ,18,54,25.3,123
KOubrePHX ,DBookerPHX ,MBridgesPHX ,DAytonPHX ,EOkoboPHX ,PHX ,18,54,-8.5,116
MPlumleeDEN ,JGrantDEN ,JMurrayDEN ,MMorrisDEN ,MPorterDEN ,DEN ,20,54,19.5,117
SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,DMusaBKN ,BKN ,15,54,-0.3,121
TYoungCHI ,TSatoranskyCHI ,ZLaVineCHI ,KDunnCHI ,LKornetCHI ,CHI ,10,54,3.5,112
AHorfordPHI ,THarrisPHI ,MScottPHI ,JRichardsonPHI ,BSimmonsPHI ,PHI ,6,53,7.2,108
