lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
165,MRedd,RJefferson,DGadzuric,LRidnour,CVillanueva,MIL,17,96,-8.8,95.78,2009
166,PGasol,JPowell,SVujacic,TAriza,JFarmar,LAL,17,96,-14.9,97.47,2009
167,MOkur,CBoozer,CMiles,RPrice,RBrewer,UTA,7,94,-11.0,87.44,2009
168,AJamison,MJames,ABlatche,NYoung,DMcGuire,WAS,15,93,-3.8,93.74,2009
169,SMarks,JPosey,RButler,DWest,CPaul,NOH,21,93,-2.7,95.99,2009
170,VCarter,KDooling,THassell,JYi,BLopez,NJN,12,93,-27.5,88.11,2009
171,DGooden,BGordon,LDeng,JNoah,DRose,CHI,11,92,-6.0,94.93,2009
172,PStojakovic,SMarks,RButler,DWest,CPaul,NOH,18,92,14.9,92.06,2009
173,JKidd,EDampier,DNowitzki,JTerry,DGeorge,DAL,20,91,-13.2,97.22,2009
174,TOutlaw,SBlake,LAldridge,BRoy,RFernandez,POR,36,91,2.5,103.81,2009
175,BGordon,LDeng,ANocioni,JNoah,DRose,CHI,21,90,-1.9,98.98,2009
176,JFoster,TMurphy,MDunleavy,DGranger,JJack,IND,10,90,-12.7,97.7,2009
177,GHill,SO'Neal,SNash,RBell,AStoudemire,PHX,13,89,7.6,98.31,2009
178,LAmundson,JDudley,ATucker,RLopez,GDragic,PHX,13,89,12.2,96.59,2009
179,DMilicic,HWarrick,RGay,MConley,OMayo,MEM,28,88,-7.7,94.95,2009
180,SBlake,LAldridge,BRoy,GOden,RFernandez,POR,22,88,13.7,84.29,2009
181,BKnight,AKirilenko,MOkur,KKorver,PMillsap,UTA,17,87,23.1,93.06,2009
182,PGasol,LWalton,JPowell,SVujacic,JFarmar,LAL,15,87,-8.5,96.35,2009
183,JFoster,TMurphy,TFord,MDaniels,JJack,IND,23,86,5.6,97.3,2009
184,SJackson,CMaggette,JCrawford,RTuriaf,MEllis,GSW,11,86,-12.4,102.69,2009
185,DMilicic,RGay,KLowry,OMayo,DArthur,MEM,16,85,-7.0,96.2,2009
186,JKidd,EDampier,DNowitzki,DGeorge,JBarea,DAL,10,85,10.3,92.93,2009
187,MMoore,JSalmons,KMartin,BUdrih,SHawes,SAC,9,85,-6.1,93.17,2009
188,AHarrington,QRichardson,CDuhon,NRobinson,DLee,NYK,26,84,-4.9,103.03,2009
189,AParker,CBosh,JKapono,JCalderon,ABargnani,TOR,31,84,-20.9,103.34,2009
190,RJefferson,CBell,CVillanueva,RSessions,LMbahaMoute,MIL,19,84,-10.5,98.84,2009
191,TOutlaw,BRoy,SRodriguez,GOden,RFernandez,POR,24,84,22.9,97.68,2009
192,JFoster,TMurphy,TFord,DGranger,JJack,IND,26,83,16.0,99.91,2009
193,JKidd,EDampier,DNowitzki,DGeorge,JHoward,DAL,10,83,-5.5,94.11,2009
194,KOllie,AJefferson,RGomes,RFoye,CSmith,MIN,10,83,0.7,93.32,2009
195,TMurphy,TFord,DGranger,JJack,RHibbert,IND,12,83,-6.9,98.83,2009
196,KThomas,MFinley,TDuncan,TParker,RMasonJr,SAS,19,82,3.2,88.93,2009
197,MCamby,BDavis,CKaman,AThornton,EGordon,LAC,13,82,-14.5,97.16,2009
198,ACarter,CAndersen,JSmith,LKleiza,RBalkman,DEN,21,81,-10.4,102.95,2009
199,DNowitzki,JTerry,AWright,BBass,JBarea,DAL,30,81,15.8,94.46,2009
200,JCrawford,QRichardson,ZRandolph,CDuhon,DLee,NYK,8,81,-19.2,98.99,2009
201,MFinley,BBowen,TDuncan,TParker,MBonner,SAS,27,81,3.9,94.73,2009
202,TRatliff,AMiller,AIguodala,LWilliams,TYoung,PHI,25,81,30.8,101.41,2009
203,DGooden,BGordon,LDeng,AGray,DRose,CHI,12,80,-31.5,94.83,2009
204,JJohnson,MEvans,RMurray,ZPachulia,JSmith,ATL,36,80,19.6,92.17,2009
